Marca temporal,1. ¿Cuál es el nombre de la organización?,2. ¿Cuál es el nombre del proyecto?,3. Nombre del Asesor Orientador ,4. ¿En que departamento(s) se llevaron a cabo las activides en su proyecto?,"5. Por Favor escriba una lista con la(s) ciudad(es), municipio(s), vereda(s) o corregimiento(s) en las que desarrollaron las actividades en su proyecto (es importante que al lado del nombre, aclare la categoria territorial, ej. vereda Paloverde, municipio de Tabio).","6. ¿En cuantas ciudades, municipios, veredas o corregimientos se desarrollaron las actividades en su proyecto?",7. ¿Señale a cuál de las siguiente redes pertenece su proceso en el marco de este convenio?,8. ¿Cuál fue el número de personas BENEFICIARIAS DIRECTAS hicieron parte de la implementación en su proyecto? Recuerde que beneficiarios directos son todos aquellos que recibieron un pago dentro del proyecto,9. ¿Cuál fue el número de persona BENEFICIARIAS INDIRECTOS  participaron del desarrollo en su proyecto? Recuerde que beneficiarios directos son todos aquellos que participaron de procesos pedagógicos dentro del proyecto,10 ¿Cuál fue el número (estimado) de PERSONAS QUE PARTICIPARON como PÚBLICO/ESPECTADOR de los eventos de circulación/socialización en su proyecto?,Por favor suministrar 2 fotos en alta calidad de su proceso.
16/12/2025 11:53:19,Colectivo Hip Hop por la Vida ,Festival Hip Hop por la Vida ,Jhon Freddy Arevalo,Caldas ,"Manizales, Chinchiná ",2,Red Comunitaria de Hip Hop,20,150,400,https://drive.google.com/open?id=1FPIkHTd4cYQ_nfvTDwNgerLCkRWK4VDK
16/12/2025 11:54:26,FUNDACIÓN BUENAVENTURA HIP HOP (TURA HIP HOP),Embajadores de paz ,Emerson Caicedo Quiñones ,Valle del cauca ,Buenaventura distrito especial,Buenaventura,Red Comunitaria de Hip Hop,15,85,120,"https://drive.google.com/open?id=17SymbWLVsUrymaPYM79bD1IapGpYZfbL, https://drive.google.com/open?id=1bvyBakoIa7KVGV1L0HjuTwX9XxWd9JS2"
16/12/2025 12:12:09,La Casa del bardo ,Convocatoria Caos Vol.2,Jhon Freddy Arevalo,Antioquía ,Medellín y Bogotá.,2,Red Comunitaria de Hip Hop,20,60,120,"https://drive.google.com/open?id=19dy6D4TVXfJa0oKW1je2o0Q8JQ7zE6cU, https://drive.google.com/open?id=1S13hA9PVLmgutmpeQWCQOV1YwUIxF8ib"
16/12/2025 13:19:43,Montaña Récords Catatumbo,CARRANGA SCHOOL ,Jhon Freddy Arevalo,Norte de Santander,"Ocaña, municipio.",1,Red Comunitaria de Hip Hop,28,313,150,"https://drive.google.com/open?id=10EtrBZFUpoNui9w0xjZt0yn4yLi75B5a, https://drive.google.com/open?id=13Dh_EeSdqx8LE-YplErQ6i-tJm5Qk29R, https://drive.google.com/open?id=1FzvyiKjeymdyHFjgSP1jzxlZVeCDW2B0, https://drive.google.com/open?id=1GyGcahnviKDtyU3pKWv7OdxYIMgZPbpv, https://drive.google.com/open?id=1Hfn5wmFDSev7NTGCqnSTrwAHAhQQ0RUv"
16/12/2025 15:43:21,Fundación Hip Hop Peña,"Cali, Ciudad Hip Hop",Jhon Freddy Arevalo,Valle del Cauca,Cali,Cali,Red Comunitaria de Hip Hop,25,51,25,"https://drive.google.com/open?id=15Mgm0b2zkyQIMl4UNmpeKuHYsC_iCz_l, https://drive.google.com/open?id=1mhUjqFE4p1GG5SxsOB1x7_UFc5gG0wa7, https://drive.google.com/open?id=1NM-RkMRRfrEsfyMAnDwKgPBSo1uG8PRa"
15/12/2025 17:35:30,Asociación de Mujeres Wiwa Abu Dzibu,Encuentro intercultural de mujeres indígenas Wiwa,Mercy Arias,Magdalena,Sierra Nevada de Santa Marta (resguardo),1,Red de Mujeres Artistas y Gestoras,14,53,70,https://drive.google.com/open?id=1nJOIHbkNSG8KZpHTr_JQr6Q51Aa4l3qj
15/12/2025 17:43:21,Organización de mujeres víctimas del Rio Iro (Orvien),RESCATE TRADICIONES Y COSTUMBRE ANSESTRALES PARA EVITAR EL RECLUTAMIENTO FORZANO DE NIÑOS NIÑAS Y ADOLESENTE DE NUESTRAS COMUNIDADE,Mercy Arias,Chocó,"Rio Iro, Condoto, Bagado, Istmina, Baudo",5,Red de Mujeres Artistas y Gestoras,25,300,320,https://drive.google.com/open?id=1U71LIxqIK8Co29IfYW_tHtkSGXQwgqAk
15/12/2025 17:47:50,FUNDACION MICELIO Tejiendo Saberes,III VERSION DEL FESTIVAL ANCESTRAL DE LA TRADICION ZENU COMUNIDAD INDIGENA DE SAN JOSE DE PILETA ,Mercy Arias,Sucre,Corozal,1,Red de Mujeres Artistas y Gestoras,50,130,600,https://drive.google.com/open?id=1SZokjnFQKKmp8-AGGMbeoqPPd3bGijt_
15/12/2025 17:53:29,"Asociación ""Compañía América Danza"" Grupo Cultural"," “Danza, Movimientos y Emociones de Mujeres para Mujeres, Tejedoras de Paz” ",Mercy Arias,Cundinamarca,"Bogotá, Soacha",2,Red de Mujeres Artistas y Gestoras,15,80,150,https://drive.google.com/open?id=1lopAGfInMNmYdi1ObehgxgHBCFkAHguT
15/12/2025 17:59:34,FUNDACIÓN PATERPAUTT ,ARTE RESTAURATIVO ,Mercy Arias,CORDOBA,Montería,1,Red de Mujeres Artistas y Gestoras,16,45,45,https://drive.google.com/open?id=1FsVwoP10g6Nembh_VwXPvroP7DE1-hD-
15/12/2025 18:07:41,Asociación de Vecinos Granjas de San Pablo ASOVEG ,FORTALECER ARTESANOS CONSTRUYENDO SENTIDO SOCIAL,Mercy Arias,Bogotá,Bogotá,1,Red de Mujeres Artistas y Gestoras,16,100,150,https://drive.google.com/open?id=1CLR7uXXL5aLcb_C1_BwRnPSJFRtuoix_
15/12/2025 18:10:34,Corporación Errante Lab,Policromía en juntanza,Mercy Arias,Norte de Santander,Ocaña,1,Red de Mujeres Artistas y Gestoras,15,25,50,https://drive.google.com/open?id=1aECWwrwfM89vgWUz6VnCtZZKkf7V0mRo
15/12/2025 18:22:44,Asociación de mujeres triunfadoras tejiendo vida ,Amazonit@s en Escena				,Mercy Arias,Amazonas,Leticia,1,Red de Mujeres Artistas y Gestoras,5,60,70,https://drive.google.com/open?id=1n5A-Fb5ZuYjhu2m5ZhVmrLv8ZdgJrM1A
15/12/2025 18:31:02,Fundación el hogar de tota ,"""CADENAS DE LIBERTAD"" hilos que tejen, manos que sueñan",Mercy Arias,Cordoba,Montería,1,Red de Mujeres Artistas y Gestoras,15,100,20,https://drive.google.com/open?id=1GxmfaHsHBGNo9uZnBKHeAQRVgZ9yTiTM
15/12/2025 18:35:19,asociacion de mujeres casa del sembrador,Retazos de Vida ,Mercy Arias,Arauca,Arauca,1,Red de Mujeres Artistas y Gestoras,70,190,190,https://drive.google.com/open?id=1tvOgTNdFf1FAkPH7PxjoHNRcJCVbcaCy
15/12/2025 18:43:42,FUNDACION CULTURAL  KYNZA XIE,"“Escuela de Saberes Hilos de Luna_ al AULA"" Ciclo formativo de Emprendimiento sostenible para niñeces y juventudes				",Mercy Arias,CUNDINAMARCA,CHIA,1,Red de Mujeres Artistas y Gestoras,16,240,400,https://drive.google.com/open?id=1MXhYItzfHWNz9Gzh8Fhtc8cb2aKXHNL2
16/12/2025 8:18:43,FUNDACIÓN ARTE Y PARTE JULIÁN RODRÍGUEZ,CORAL DE NIÑAS DEL VALLE Y EL CAUCA,Mónica Lopez,VALLE Y CAUCA,"Caloto - Cauca, Jamundí, Yumbo, Buenaventura, Buga, Tuluá, Sevilla y Cali",8,Red de Mujeres Artistas y Gestoras,28,256 Niñas y 117 adultas,945,"https://drive.google.com/open?id=1GyWUsRcsM1VrV0Rzp-bA_TxXjB5cq_uJ, https://drive.google.com/open?id=1kvv9itrsl8jiJ6xY4EseggqeiAO9Efjr, https://drive.google.com/open?id=1pZ-5F2HOrM1vQ5Xvx8R0zPfF7klSPbCQ, https://drive.google.com/open?id=1h0lGrI-qXH9hozY7vOPVRIo8sSp8F4P0"
16/12/2025 11:46:32,Corporación violeta en movimiento ,Venus Fest ,Mercy Arias,Nariño ,Pasto ,1,Red de Mujeres Artistas y Gestoras,50,100,500,https://drive.google.com/open?id=12uHqrQXl0_LIqIT5GheHqGki4DaBF6Pi
16/12/2025 12:56:02,Corporacion La Tigra,Cuendo el rio suena- Festival de La Tigra,Jeimmy Ruiz Cárdenas ,Santander ,Municipio de Piedecuesta,Municipio de Piedecuesta,Red Intercultural Juvenil,26,247,10,"https://drive.google.com/open?id=1dkoetMX0XJgP_6V0U6XwXMkZJrDOX0B9, https://drive.google.com/open?id=1b_re_U-1tAKZTZki8WnOYStvVTzsabQ-"
15/12/2025 21:04:03,CORPORACIÓN JUVENIL INFLUENCERS ÉTNICOS ,ESCUELA DE FORMACIÓN AUDIOVISUAL INFLUENCERS ÉTNICOS ,Jeimmy Ruiz Cárdenas,BOLIVAR ,SAN BASILIO DE PALENQUE ,1,Red Intercultural Juvenil,7,25,84,"https://drive.google.com/open?id=1_HEdHTcaFC8iH62bttZqD44uHNMEkIbi, https://drive.google.com/open?id=1dItOa0NNtbp0WWzaqB-X9zlTdmXZw0Dv"
15/12/2025 21:05:25,Parchemos por Yacopí ,Festival Resonar el territorio ,Jeimmy Ruiz Cárdenas ,Cundinamarca ,"Cabecera municipal de Yacopí, municipio ",1,Red Intercultural Juvenil,24,102,250,"https://drive.google.com/open?id=1_mjFj8EYhCC0DKm5E7hQKuFpO7F1ZdIg, https://drive.google.com/open?id=1i-ezIMaCyJgWyjrBql39hzAUnGaHQ-00"
15/12/2025 21:13:13,Corporación Juvenil Arreglando el País,"Vientos del Macizo “Escuela de música tradicional""				",Jeimmy Ruiz Cárdenas,Huila,Corregimiento La laguna,Corregimiento1 municipio1 ,Red Intercultural Juvenil,4,16,450,"https://drive.google.com/open?id=1ABwDLnVGdsRE9GBVHDzdE07xK0Gz4cUQ, https://drive.google.com/open?id=1X9chCuKEH-Ar_GlwvbOwv9o5duUKI1VW, https://drive.google.com/open?id=1RzvXIkQz4cYltTlOs6ZGJa3FrEviypn2"
15/12/2025 21:13:27,Fundacion Pacifica Cultural,Memorias Sonoras del Estallido,Jeimmy Ruiz Cardenas,Valle del Cauca,Cali,1,Red Intercultural Juvenil,76,45,230,"https://drive.google.com/open?id=1FL4-j11qweOQBvmn4ZaAOpbmkxzCDujw, https://drive.google.com/open?id=1h5N99EaUmKimIr_Mn_8vkrK9Vw8OSLGK"
15/12/2025 21:15:23,Funda artística y cultural La Minga Muralista Kamentsa ,El arte urbano como herramienta para el desarrollo creativo de los jóvenes de la comunidad kamentsa y de Sibundoy ,Jeimmy Ruiz Cárdenas ,Putumayo ,Sibundoy Putumayo ,5,Red Intercultural Juvenil,14,30,100,"https://drive.google.com/open?id=1n10eBIq5OIgKuj9SY2l_ejlPkDc96hQH, https://drive.google.com/open?id=1bzn_MiFcHdoY9NtiTy7-1HdIhlPr3p4g"
15/12/2025 21:16:08,Corporación rey de la selva,Festival rugido social,Jeimmy Ruiz Cardenas,Chocó ,Quibdó ,1,Red Intercultural Juvenil,30,102,200,"https://drive.google.com/open?id=1etUFCzAlhVgnc26OvLWA1pcqknrI5c-W, https://drive.google.com/open?id=1Fmj9m3pjdZvgapqc_x0w5lTEAFbjR_BX"
15/12/2025 21:20:38,CORPORACIÓN CÓDIGO ESTILO CREW ,EL PARCHE JUVENIL DEL QUINDÍO ,Jeimmy Ruíz Cardenas ,Quindío ,"Armenia Quindío territorial,municipio Génova Quindío,municipio Caldas,",3,Red Intercultural Juvenil,27,200,1000,"https://drive.google.com/open?id=1P4abW3IlMjbD4FZSjxMGiowmwuVzQT7h, https://drive.google.com/open?id=17UAi7ovvTSrHZlX6fUD1AxGxTNWHNS_M"
15/12/2025 21:39:10,Comunicación Visual Sin Fronteras ,La COSMOVISIÓN DE LA ETNIA MAGÜTA ,Jeimmy Ruiz Cárdenas ,Amazonas ,Comunidad indígena Ticoya del resguardo Ticoya - municipio de Puerto Nariño ,Comunidad indígena Ticoya y el casco urbano municipio de Puerto Nariño ,Red Intercultural Juvenil,13,105,105,"https://drive.google.com/open?id=14G3zXHfqtok0OYp-AhM15HMEHG24r-ME, https://drive.google.com/open?id=1QfA_JPLnaDZW-1po2otpGESr3X6rSamV"
15/12/2025 21:44:05,The Giants Community,Cali Capital Festival Juvenil de Arte y Cultura Urbano,Jeimmy Ruiz Cárdenas ,Valle del Cauca,Santiago de Cali,1,Red Intercultural Juvenil,150,600,5000,"https://drive.google.com/open?id=1hpqhN0qQhig2GFdlHqcQzHoGjLI4mnQV, https://drive.google.com/open?id=1cK51r0675vsOekI4Fi6krdQUEcmsgsj1"
15/12/2025 21:52:34,Organización para el Desarrollo de los Ecosistemas Culturales ,"Agenda Juvenil de Impulso a las Artes, las Culturas, los Saberes y la Economía Cultural ",Jeimmy Ruiz Cárdenas ,Atlántico ,"Luruaco, Atlántico. Mahates, Palenque, Bolívar ","Luruaco, Atlántico. Mahates, Palenque, Bolívar.",Red Intercultural Juvenil,45,200,1500,"https://drive.google.com/open?id=1YH62fS8ZpKCzM26Z_54BliVC5g5sdEQe, https://drive.google.com/open?id=1lvpq1v1ftY9meqj4M7NrXGHZFAmpz2fl"
15/12/2025 21:58:41,corpohuellas,bari rock festival 2025,Jeimmy Ruiz Cárdenas,norte de santander,Cúcuta  municio norte de santander ,1,Red Intercultural Juvenil,140,121,1,"https://drive.google.com/open?id=16QlsJc0jymlxsd1l2FWfZfNBLqmmT5on, https://drive.google.com/open?id=10n1ssEPLfSgpHK6NGEFsozTKpudcoDNE"
16/12/2025 2:19:53,Corporación Calina Cumbay,"Escuelas bioculturales para promover la memoria histórica, la paz y el emprendimiento juvenil ",Jeimmy Ruiz Cárdenas ,Tolima,1 Armero Guayabal 2 Corregimiento de San Pedro,1 municipio 1 vereda,Red Intercultural Juvenil,15,155,300,"https://drive.google.com/open?id=13PZeRmhjr2Nihzf9JjtY-Opl0zS-E8zq, https://drive.google.com/open?id=1nZaVpobD-OQudmzHuulbdoToZ9SE0iTR"
16/12/2025 6:15:40,Corporación Yukuta ,Sonido Nativo,Jeimmy Ruiz Cardenas ,Guainía ,Inírida y Barrancominas comunidad de Minitas,2,Red Intercultural Juvenil,35,30,420,"https://drive.google.com/open?id=1npd4GYgidtc8VAU6dIZq9Kuc7nhzB5y_, https://drive.google.com/open?id=1v-sumOHMWLRJHy64rpzaJ3krI_EDumq3, https://drive.google.com/open?id=12fbZHXsz_x-6PgIgvETW6pxjpnJdMzNE"
16/12/2025 8:10:11,NUEVO ESTILO DANCE,RUTA DEL RITMO,Jeimmy Ruiz Cárdenas,valle del cauca,Comuna 20 cali,1,Red Intercultural Juvenil,60,300,200,"https://drive.google.com/open?id=1ZYDRM5bW3heynZwzvCO2GXvS9oU4F6_O, https://drive.google.com/open?id=1nSLWcgUFR8ZpfAkLd0Yp3cFVoheejXXv"
16/12/2025 8:11:46,Corporación Emergiendo,NARRATIVAS URBANAS MANIZALES,Jeimmy Ruiz Cárdenas ,Caldas,Municipio de Viterbo y Manizales Caldas,2,Red Intercultural Juvenil,25,125,Aproximadamente 2600 personas,"https://drive.google.com/open?id=1qrEOSL-wstvJ2seUKUA0Iwa-ryCiKue1, https://drive.google.com/open?id=1r6JrLA8TfsRcGccsZ7ooBV8H3tdL6PzR"
16/12/2025 8:24:12,FUNDACION MANGLARIA DIVERSA,"Red de Ritmos para la Paz: Juventudes Tejiendo Identidad y Convivencia desde la Música, la Danza y el Baile Artistico",Jeimmy Ruiz Cárdenas ,NARIÑO,TUMACO,1,Red Intercultural Juvenil,45,51,450,"https://drive.google.com/open?id=1POVww1zYg5Tx7I8zitXzNWoQmqjH2pBu, https://drive.google.com/open?id=13PER0Knra4PqxC-4JGQjEcsQVOAekL9p"
16/12/2025 9:03:36,Jóvenes creadores del  chocó ,SABERES QUE TRANSFORMAN ,Jeimmy Ruiz Cárdena ,Quibdó chocó ,Quibdó chocó - municipio ,1,Red Intercultural Juvenil,80,200,300,https://drive.google.com/open?id=1-EKnM02WR4jZWQS9KBg2WkImXevWcZ65
16/12/2025 9:47:55,Corporación Cultural Fahrenheit 451,Pacificarte: Desarrollando Competencias Ciudadanas Para la Paz ,Jeimmy Ruiz Cárdenas ,Cundinamarca ,Municipio Chia (Vereda Bojacá) (Vereda Samaria) ,2 municipios y 2 veredas,Red Intercultural Juvenil,23,132,918 aprox.,"https://drive.google.com/open?id=1Y_SFloZHhNwEiUI8djzcRcW-OFMDvude, https://drive.google.com/open?id=1kiIMzmCbbGbsotO4C0FWStA1Hg6TWs7_"
16/12/2025 9:51:05,Fundacion Amahía - La Enredadera Colectiva,"Tercer Laboratorio de Denuncia Creativa ""Redes comunitarias para el cuidado de la vida y los territorios""",Jeimmy Ruiz Cárdenas ,Boyacá," Vereda Siatame, municiío de Sogamoso",1,Red Intercultural Juvenil,32,25,60,"https://drive.google.com/open?id=1ZO_Cjcd5il2jb_BUky19wUAx48iFwMS0, https://drive.google.com/open?id=1p2W-g5FWDcEE-VzLwtLmHe_pwfO2_KZs, https://drive.google.com/open?id=1wCgEE5JuiVPY0NAnjXPjvPvV4MJoGdSm, https://drive.google.com/open?id=1e5eVzAkuqnojTZckSTpQrAIuTzPHRFA3, https://drive.google.com/open?id=1pQrTiAwumfu4nv4BwjBCXuUvvKWRy_4P"
16/12/2025 10:32:49,Medance - Corporacion Ritmo Extremo REX,Juventud en movimiento,Jeimmy Ruiz Cárdenas ,"Antioquia, Córdoba y Chocó ","Corregimiento de Sevilla, municipio de Ebejico, Antioquía / Alto de las palmas, zona rural del municipio de Envigado / Quibdó, Medellín y área metropolitana, / Dabeiba y resguardo indígena / región Urabá, municipio de Apartadó, y palenque del corregimiento de puerto Jirón / ETCR silver Vidal, festival selva adentro, Carmen del Darién / Municipio de Montelibano Córdoba ",8 territorios en 3 departamentos ,Red Intercultural Juvenil,15,300,300,"https://drive.google.com/open?id=1Pwf5Fl3YoEVhOBY1PrM3WTqqaWEobMz_, https://drive.google.com/open?id=1DgmjSrgh5QiEh2canjZ_brQduUWSRrJr, https://drive.google.com/open?id=1MzAmrLFt5jas2rw3z6qJTRS2pedaaUeo, https://drive.google.com/open?id=1fl9NHRGSgSJvoc52MDJF8ltkEL-F5gON, https://drive.google.com/open?id=1ZLHWj3kur8bKm2Hn87FlSI4eLyHGoDwX"
16/12/2025 10:39:02,Fundación Linderos de Paz,Ritmos y pasos hacia La Paz integral ,Jeimmy Ruiz Cárdenas ,Bogotá ,Bogotá localidad Usme y Ciudad Bolívar ,Bogotá ,Red Intercultural Juvenil,35,70,110,"https://drive.google.com/open?id=1z8iuyDh1duXL_TQQC1aAz7CpgtYombot, https://drive.google.com/open?id=1q_zJXu9qcPq36tE_dt1rQfG_x9kFu1rE, https://drive.google.com/open?id=1G-L8hP7obGlDDL75YlHQOd89jJErFKAu"
