# de actividad;Organización y proyecto;Nombre del evento;Disciplina;Fecha inicio;Fecha cierre;Municipio/ciudad;Departamento;Descripción;"Tipo de evento
(eventos de formación, eventos de circulación, eventos con público,)";Profesional asignado para el acompañamiento;Total beneficiarios;;;
7;"Asociación de Autoridades Tradicionales indígenas ASOMAUCOWOT

Revitalización de Saberes Ancestrales Puinave y Curripaco: Memoria Oral, Medicina Tradicional y Arte Ancestral en el resguardo de morichal viejo departamento del Guaviare";"Encuentro Interétnico

";"Tradiciones y expresiones orales (mitología, narrativa sagrada y cantos rituales)
 
Artes tradicionales (tejidos, pintura corporal y cestería)

Documentación etnográfica (registro audiovisual comunitario y creación de archivos digitales)";20/09/25;20/09/25;SAN JOSÉ DEL GUAVIARE;Guaviare;"Desarrollo del Encuentro Interétnico ""Tejiendo Saberes entre Hermanos"" con la participación de sabedores y jóvenes del Resguardo Morichal Viejo y del pueblo Tukano Oriental del Resguardo Panuré, en la Maloca Central de El Refugio (San José del Guaviare)";FORMACIÓN;Mónica Andrea López Sánchez;750;;;
;;Transmisión de saberes (Talleres);;9/09/25;11/09/25;;;Taller intergeneracionales liderado por 11 sabedoras tejedoras de la comunidad, que permitirá la enseñanza de técnicas ancestrales de cestería en moriche, el registro digital bilingüe (lenguas nativas-español) de relatos míticos, cantos rituales Kajé Pukéeni y símbolos cosmogónicos, integrando una metodología de transmisión oral y creación colaborativa, con el propósito de salvaguardar la memoria colectiva y plasmar sus significados en una cartilla ilustrada que documente los tejidos, sus diseños y su conexión con la cosmovisión del pueblo Puinave y Curripaco.;FORMACIÓN - CIRCULACIÓN;;100;;;
8;"Corporación para el desarrollo del Artista CORARTE

""Armonías de Buga"": Formación Artística y Transformación Social";Presentación pública;FORMACIÓN CORAL;2/11/25;5/09/25;CALI;Valle del Cauca;Dos presentaciones artísticas públicas para visibilizar el talento de los participantes, promoviendo la identidad local y fortaleciendo el tejido social;CIRCULACIÓN;Mónica Andrea López Sánchez;1000;;;
;;Espacios formativos.;;15/09/25;15/11/25;;;Formación a un mínimo de 50 niños, jóvenes y adultos de estratos 1, 2 y 3 de Guadalajara de Buga en canto, música y danza, mediante la implementación de un plan de estudios intensivo que incluye  24 clases por disciplina durante un periodo de 2 meses y medio. ;FOMACIÓN;;300;;;
9;"Fundación Un Mar de Voces

ESCUELA CORAL UN MAR DE VOCES";Concierto de Clausura;FORMACIÓN CORAL;22/11/25;22/11/25;PUERTO COLOMBIA ATLÁNTICO;Atlantico;Concierto coral de clausura en conmemoración de los 20 años de la Escuela Coral Un Mar de Voces, que recoja los resultados de los procesos llevados a cabo en el marco de este proyecto. ;CIRCULACIÓN;Mónica Andrea López Sánchez;780;;;
;;Espacios formativos.;;15/09/25;15/09/25;;;"*Dos talleres de formación coral para la cualificación de directores , fortaleciendo sus competencias en técnica vocal, dirección y abordaje de repertorio, dirigido a trece formadores de la Escuela de Directores de la organización.
*5 talleres (20 clases-sesiones cada taller) de formación coral, técnica vocal y abordaje de repertorio dirigidos a niños y jóvenes, fortaleciendo los procesos corales de la Escuela y de otras organizaciones del territorio.";FORMACIÓN;;113;;;
10;"Fundación La Concepción

VIIIENCUENTRO NACIONAL  DE SEXTETO";Festival de Sextetos;MÚSICA;16/09/25;19/09/25;SAN JUAN DE URABÁ;Antioquia;VIII Encuentro Nacional de Sexteto, a través del desarrollo de espacios para presentaciones artísticas, talleres de formación, intercambio de saberes y la construcción de redes colaborativas.; CIRCULACIÓN;Mónica Andrea López Sánchez;1000;;;
;;Espacios formativos.;;16/09/25;19/09/25;;;3 talleres formativos y 1 espacios de creatividad e integración que fomenten el intercambio de saberes ancestrales asociados al sexteto del Caribe colombiano, abordando su evolución histórica y los aportes de la tecnología a su desarrollo.;FORMACIÓN;;130;;;
11;"Coral Santa María

CORO A LA PLAZA - LA MÚSICA TE ALIMENTA";Socializaciones;FORMACIÓN CORAL;15/11/25;15/01/25;MANIZALES;Risaralda;Dos (2) eventos de cierre del proyecto, abiertos a la comunidad, donde socializaremos los resultados de los procesos de formación y haremos la presentación del Coro Infantil de la Plaza de Mercado con su participación en un concierto didáctico en el Banco de la República de Manizales.;CIRCULACIÓN;Mónica Andrea López Sánchez;300;;;
;;Espacios formativos.;;1/09/25;12/11/25;;;Consolidar el proceso de formación musical y de conformación del Coro infantil de la Plaza de Mercado, con clases semanales durante 4 meses y medio y con la participación de al menos 15 niños y niñas de sectores populares de la ciudad, quienes podrán acceder al programa de manera gratuita.;FOMACIÓN;;245;;;
12;Fundación Arte y Parte Julián Rodríguez;Socializaciones;FORMACIÓN CORAL;1/11/25;15/01/25; CALI;VALLE DEL CAUCA;Presentación de cierre del proceso formativo en cada uno de los 8 municipios con  la coral respectiva, involucrando a las familias, escuelas e instituciones vinculadas al proceso formativo, en aras de hacer tejido social y cultural y favorecer un entorno protector a las niñas;CIRCULACIÓN;Mónica Andrea López Sánchez;1500;;;
;;Espacios formativos.;;1/09/25;15/11/25;;;Continuidad al proceso de formación en Canto colectivo al unísono denominado la Coral de niñas del Valle y el Cauca, conformada por 250 niñas de 8 municipios, consistente en talleres de canto colectivo (con una duración de 2 horas a la semana),  creación, ensayos y montaje, acercando la población a su territorio, identidad y memoria. ;FOMACIÓN;;350;;;
13;Fundación Afroresilientes Colombianos;Espacios formativos.;DANZA Y MÚSICA;15/09/25;15/11/25;SANTA MARTA;Magdalena;Programa integral de formación artística en música de tambora tradicional, expresión corporal y danzas folclóricas afro, estructurado en seis (6) módulos temáticos —musicales y dancísticos—, dirigido a treinta (30) jóvenes afrodescendientes de distintas localidades de la ciudad de Santa Marta. Este proceso formativo será sistematizado y documentado mediante un video memoria.;FOMACIÓN;Mónica Andrea López Sánchez;40;;;
;;Muestras;;15/11/25;15/11/25;;;Muestra artística de cierre que evidencie los aprendizajes del proceso formativo en música de tambora y danza folclórica afro, protagonizada por los jóvenes participantes e incluyendo la participación especial de dos grupo de danza con músicos en vivo invitados.;CIRCULACIÓN;Mónica Andrea López Sánchez;150;;;
14;"CORPORACIÓN ARTE Y POESÍA PROMETEO

PEDAGOGÍA POETICA PARA LA PAZ";Festival Internacional de Poesía de Medellín;LITERATURA;5/07/25;12/07/25;ANTIOQUIA;MEDELLÍN;"Fortalecer el componente pedagógico del Festival Internacional de Poesia de Medellín, mediante el desarrollo de 10 talleres, 5 paneles temáticos, 7 dialogos/ conversatorios, 2 tertulias y 5 ciclos de talleres en igual numero de instituciones educativas; orientados a cualificar el saber sobre la poesía, entendida no solo como una práctica literaria, sino como una forma de pensamiento crítico, manera de mirar el mundo y asumir la realidad. ";CIRCULACIÓN-FORMACIÓN;Mónica Andrea López Sánchez;3000;;;
;;Espacios formativos.;;1/08/25;30/09/25;;;;;;1420;;;
15;PARTICIPACIÓN DE LA BANDA MUSICAL DEL MUNICIPIODE GUTIERREZ EN EL XXVII FESTIVAL INTERNACIONAL DE MUSICA Y FIESTA-ESPAÑA;XXVII FESTIVAL INTERNACIONAL DE MUSICA Y FIESTA-ESPAÑA;MÚSICA;23/06/25;25/07/25;CUNDINAMARCA;GUTIERREZ;Circulación Internacional de los agentes de la escuela de formación de Banda del Municipio de Gutierrez a través de su participación en un festival internacional, acompañado de espacios pedagícos para el crecimiento de la organización.;CIRCULACIÓN-FORMACIÓN;Mónica Andrea López Sánchez;1200;https://www.fundacionmiem.org/;;
16;"FUNDACIÓN UNIDOS POR EL DESARROLLO COMUNITARIO

ENCUENTRO MUNICPAL DE DANZAS ""SOY PELAYERO""";"ENCUENTRO MUNICPAL DE DANZAS ""SOY PELAYERO""";DANZA Y MÚSICA;1/07/25;29/07/25;CORDOBA;San Pelayo;"Contribuir al fortalecimiento de los procesos culturales y pedagógicos del Festival Nacional del Porro en el municipio de San Pelayo, mediante la realización de dos talleres de formación artística en danza dirigidos a niños, niñas, jóvenes y comunidades —beneficiando a 200 participantes—; el incentivo a tres agrupaciones de danza locales que presentarán muestras ilustrativas en cada taller; y el apoyo logístico a la participación infantil en la categoría de Banda de Escuelas de Formación, a través de la provisión de 383 refrigerios. Todo ello con el propósito de fomentar la apropiación, transmisión y sostenibilidad del patrimonio cultural local.";"
CIRCULACIÓN-FORMACIÓN";Mónica Andrea López Sánchez;600;https://www.fundacionunidosporelbienestarcomunitario.com/;;
17;"FUNDACIÓN IDENTIDAD DESPIERTA DOUGLAS CASTELLANOS

TRANSFORMARTE SIN BARRERAS:  DIVERSIDAD Y PROTECCIÓN POR LA PAZ.";PROCESOS FORMATIVOS PARA: la visibilización y el fortalecimiento de las capacidades creativas, sociales y políticas de las personas LGBTIQ+H;DANZA, MÚSICA Y TEATRO;1/07/25;29/07/25;Guajira;Riohacha;Contribuir a la promoción de los derechos, la visibilización y el fortalecimiento de las capacidades creativas, sociales y políticas de las personas LGBTIQ+H en La Guajira, mediante estrategias culturales y pedagógicas como muestras artísticas, espacios formativos y eventos de participación pública, que impulsen la transformación de imaginarios sociales, el reconocimiento de la diversidad y la construcción de narrativas inclusivas.;CIRCULACIÓN-FORMACIÓN;Mónica Andrea López Sánchez;700;;;
18;"FUNDACIÓN PAZ Y RECONCILIACIÓN PARES

Festival Macondo: Aracataca es el Mundo";Festival Macondo: Aracataca es el Mundo;MÚSICA;18/07/25;29/07/25;Magdalena;Aracataca;Consolidar el Festival Macondo en el municipio de Aracataca, Magdalena, como una estrategia de fortalecimiento de capacidades para la visibilización del legado cultural de Gabriel Garcia Márquez y Leo Matiz. ;CIRCULACIÓN;Mónica Andrea López Sánchez;600;;;
19;"FUNDACIÓN ACADEMICA DE MÚSICA CINTEMPORÁNEA Y SOCIAL DECUPLUM

ENCUENTRO DE VOCES Y ACORDEONES FEMENINO - EVAFE 2025";ENCUENTRO DE VOCES Y ACORDEONES FEMENINO - EVAFE 2025;MÚSICA;1/08/25;15/08/25;Cesar;Valledupar;Fortalecer la equidad de género en el folclor vallenato a través de procesos integrales de formación, circulación y visibilización de mujeres portadoras de esta manifestación cultural, como una estrategia de salvaguardia activa y transformación estructural del patrimonio cultural inmaterial, en articulación con las políticas nacionales de inclusión, equidad y diversidad.;CIRCULACIÓN-FORMACIÓN;Mónica Andrea López Sánchez;5000;;;
20;FUNDACIÓN PARA EL DESARROLLO DRÁMATICO Y ARTISTICO DEL MAGDALENA;;TEATRO;;;Magdalena;Santamarta;;CIRCULACIÓN-FORMACIÓN;Mónica Andrea López Sánchez;;;;
21;FUNDACIÓN CARMEN MANTILLA;;MÚSICA;;;Magdalena;El Plato;;CIRCULACIÓN;Mónica Andrea López Sánchez;;;;
22;ASOCIACIÓN DE CABILDOS  INDÍGENAS ZONA DE IPIALES;;MÚSICA;;;Nariño;Ipiales;;CIRCULACIÓN;Mónica Andrea López Sánchez;;;;
23;CORPORACIÓN PRIVADA DE BENEFICIO SOCIAL L&M;;DANZA;;;Boyacá;Paipa;;CIRCULACIÓN-FORMACIÓN;Mónica Andrea López Sánchez;;;;
24;MARCASHI GROUP SAS;;MÚSICA;;;CUNDINAMARCA;Bogotá;;CIRCULACIÓN;Mónica Andrea López Sánchez;;;;
25;FUNDACIÓN  TIERRA PAZIFICA;;MÚSICA - FORMACIÓN POLÍTICA;;;Valle de Cauca;Cali;;CIRCULACIÓN-FORMACIÓN;Mónica Andrea López Sánchez;;;;
26;CULTURA NATIVA SAS;;TEATRO, MUSICA, DANZA;;;CUNDINAMARCA;Bogotá;;CIRCULACIÓN-FORMACIÓN;Mónica Andrea López Sánchez;;;;
27;CORPORACIÓN PARA LA PROMOCIÓN DE LAS ARTES Y LAS LETRAS CORPOULRIKA;;LITERATURA;;;Cundinamarca;Bogotá;;CIRCULACIÓN-CREACIÓN;Mónica Andrea López Sánchez;;;;
28;FUNDACIÓN CULTURAL PARA LA TRANSFORMACIÓN SOCIAL;;DANZA;;;Santander;Barrancabermeja;;CIRCULACIÓN-FORMACIÓN;Mónica Andrea López Sánchez;;;;
29;CORPORACIÓN LA ESQUINA DEL BARRIO;;MÚSICA Y DANZA;;;Tolima;Ibagué;;CIRCULACIÓN;Mónica Andrea López Sánchez;;;;
30;FUNDACIÓN LA CONCEPCIÓN;;MÚSICA Y DANZA;;;Cordoba;San Juan de Uraba;;CIRCULACIÓN-FORMACIÓN;Mónica Andrea López Sánchez;;;;
31;ASOCIACIÓN VICTIMAS NÚCLEO SANTIAGO PEREZ;;;;;Tolima;Ataco;;;Mónica Andrea López Sánchez;;;;
32;CENTRO PERIFERIA;;DANZA;;;CUNDINAMARCA;Bogotá;;CIRCULACIÓN-CREACIÓN;Mónica Andrea López Sánchez;;;;
33;;;;;;;;;;;;;;
34;;;;;;;;;;;;;;
35;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
